PKEY,ID,BIKE_ID,FAC_NAME,LONGITUDE,LATITUDE
28868,18083,31085,Mount Vernon Ave & E Nelson Ave,-77.057619,38.820064
28881,55289,31086,Mount Vernon Ave & E Del Ray Ave,-77.058541,38.82595
28890,49524,31087,Monroe Ave & Leslie Ave,-77.053096,38.820932
28899,55290,31088,Mount Vernon Ave & Kennedy St,-77.059821,38.833077
28909,38595,31089,Court House Metro / 15th & N Uhle St,-77.0848,38.8906
28916,54718,31090,Long Bridge Park / Long Bridge Dr & 6th St S,-77.05003,38.865553
28920,18089,31091,S Joyce & 16th St S,-77.063275,38.859254
28935,31579,31092,N Nelson St & Lee Hwy,-77.1052,38.8959
28939,18091,31093,21st St N & N Pierce St,-77.078317,38.898984
28948,11863,31094,Lee Hwy & N Kirkwood Rd,-77.09713,38.895377
28962,38601,31095,Army Navy Dr & S Nash St,-77.0682,38.8625
28971,54629,31096,Walter Reed Dr & 8th St S,-77.08787,38.86612
28980,55311,31097,Saint Asaph St & Madison St,-77.044097,38.812718
28990,49581,31098,King St Metro North / Cameron St,-77.059817,38.80704
28998,38605,31099,Madison & N Henry St,-77.0495,38.8135
29006,38606,31100,19th St & Pennsylvania Ave NW,-77.0429,38.9003
29016,31588,31101,14th & V St NW,-77.0321,38.9176
29020,25278,31102,11th & Kenyon St NW,-77.027822,38.929464
29032,38609,31103,16th & Harvard St NW,-77.0365,38.9261
29037,11873,31104,Adams Mill & Columbia Rd NW,-77.042581,38.922925
29049,38611,31105,14th & Harvard St NW,-77.0322,38.9268
29059,38612,31106,Calvert & Biltmore St NW,-77.0476,38.9232
29062,11876,31107,Lamont & Mt Pleasant NW,-77.0388,38.9319
29075,55013,31108,4th & M St SW,-77.01777443,38.87682269
29085,31596,31109,7th & T St NW,-77.0222,38.9155
29093,31597,31110,20th St & Florida Ave NW,-77.0446,38.9154
29105,62959,31111,10th & U St NW,-77.0259,38.9172
29113,38618,31112,Harvard St & Adams Mill Rd NW,-77.0434,38.9279
29116,6345,31113,Columbia Rd & Belmont St NW,-77.04368,38.920669
29131,31601,31114,18th St & Wyoming Ave NW,-77.0416,38.9188
29133,11884,31115,Columbia Rd & Georgia Ave NW,-77.02344,38.928156
29148,31603,31116,California St & Florida Ave NW,-77.0406,38.9178
